query,engine,domain,URL,title,text
google,Google,google.com,https://www.google.com/,Googlehttps://www.google.com,
google,Google,google.com.pk,https://www.google.com.pk/,Googlehttps://www.google.com.pk,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for."
google,Google,blog.google,https://blog.google/,The Keyword | Googlehttps://blog.google,"Discover all the latest about our products, technology, and Google culture on our official blog."
google,Google,about.google,https://about.google/,"Google - About Google, Our Culture & Company Newshttps://about.google","Stay up to date with Google company news and products. Discover stories about our culture, philosophy, and how Google technology is impacting others."
google,Google,ai.google,https://ai.google/,Google AIhttps://ai.google,"At Google, we think that AI can meaningfully improve people's lives and that the biggest impact will come when everyone can access it. Learn more about our ..."
google,Google,thinkwithgoogle.com,https://www.thinkwithgoogle.com/,Think with Google - Discover Marketing Research & Digital ...https://www.thinkwithgoogle.com,"Uncover the latest marketing research and digital trends with data reports, guides, infographics, and articles from Think with Google."
google,Google,grow.google,https://grow.google/certificates/,Job-ready skills you can put to work - Grow with Googlehttps://grow.google › certificates,Discover professional certificates developed by Google and designed to connect you to over 100 top employers who are hiring for related roles.
google,Google,buildyourfuture.withgoogle.com,https://buildyourfuture.withgoogle.com/internships,Internships - Build your future with Googlehttps://buildyourfuture.withgoogle.com › internships,"9 results — Our interns. #GoogleInterns work across Google, including being part of various teams like software engineering, business, user experience, ..."
google,Google,books.google.com.pk,https://books.google.com.pk/books?id=2tDCAwAAQBAJ&pg=PA166&lpg=PA166&dq=google&source=bl&ots=CydsN9BSPm&sig=ACfU3U0YgW2IqYRHR7yiQ_YT7tB0b6zy0Q&hl=en&sa=X&ved=2ahUKEwj0x5GExN74AhVLDrkGHbHkAqQ4FBDoAXoECAQQAw,Going Google: Powerful Tools for 21st Century Learninghttps://books.google.com.pk › books,
google,Google,books.google.com.pk,https://books.google.com.pk/books?id=y6YkDwAAQBAJ&pg=PA13&lpg=PA13&dq=google&source=bl&ots=kkERLI8ewL&sig=ACfU3U2ZI54jnBFYhvj2IY4s1hPxjM0gNw&hl=en&sa=X&ved=2ahUKEwj0x5GExN74AhVLDrkGHbHkAqQ4FBDoAXoECAIQAw,Google Advertising Tools: Cashing in with AdSense and AdWordshttps://books.google.com.pk › books,
google,Google,books.google.com.pk,https://books.google.com.pk/books?id=bd-O5sPcSQIC&pg=PA24&lpg=PA24&dq=google&source=bl&ots=Gb0H9TRvqE&sig=ACfU3U2pKahVUpAvdocvM3T8Yp9Rvd61ag&hl=en&sa=X&ved=2ahUKEwj0x5GExN74AhVLDrkGHbHkAqQ4FBDoAXoECAMQAw,Going Google: Powerful Tools for 21st Century Learninghttps://books.google.com.pk › books,
google,Google,books.google.com.pk,https://books.google.com.pk/books?id=-XDkb3htVikC&pg=PA175&lpg=PA175&dq=google&source=bl&ots=q1Jc7eShtL&sig=ACfU3U2m6fsRaj_Q9poKosIYfkpPWWurnQ&hl=en&sa=X&ved=2ahUKEwj0x5GExN74AhVLDrkGHbHkAqQ4FBDoAXoECBQQAw,55 Ways to Have Fun with Google - Page 175 - Google Books Resulthttps://books.google.com.pk › books,
google,Bing,google.com,https://www.google.com/,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for."
google,Bing,google.com,https://www.google.com/intl/br/,Google,Happy Father's Day! #GoogleDoodle
google,Bing,account.google.com,https://account.google.com/,Google Account,Your Google Account automatically protects your personal information and keeps it private and safe. Every account comes with powerful features like spam filters that block 99.9% of …
google,Bing,google.com.bd,http://www.google.com.bd/,Google,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for."
google,Bing,account.google.com,https://account.google.com/,Google Account,"Your Google Account automatically protects your personal information and keeps it private and safe. Every account comes with powerful features like spam filters that block 99.9% of dangerous emails before they ever reach you, and personalized security notifications that alert you of suspicious activity and malicious websites."
google,Bing,maps.google.com,https://maps.google.com/,Google Maps,"Find local businesses, view maps and get driving directions in Google Maps."
google,Bing,translate.google.com,https://translate.google.com/,Google Translate,"Google's free service instantly translates words, phrases, and web pages between English and over 100 other languages."
google,Bing,scholar.google.com,https://scholar.google.com/,Google Scholar,"Google Scholar provides a simple way to broadly search for scholarly literature. Search across a wide variety of disciplines and sources: articles, theses, books, abstracts and court opinions."
google,Bing,google.co.uk,"https://www.google.co.uk/maps/@50.2637799,-5.059124,17z",Google Maps,"Find local businesses, view maps and get driving directions in Google Maps."
